"Sync methods now","Synka betalmetoder nu"
"Round item tax","Avrunda produkt moms"
"Round item tax percentage to nearest integer. Only use this when your configuration results in floating tax percentage values, for instance when using percentage based shipping fees in combination with currency conversion.","Avrunda produkters momssats till närmaste heltal. Aktivera detta endast om din konfiguration resulterar i flytande momssats värden, till exempel om du nyttjar procentuella fraktpriser i samband med valutakonvertering."
"Payment Methods","Betalmetoder"
"Sync data","Synka data"
"Automatically sync data","Synka data automatiskt"
"Configure","Konfigurera"
"Close","Stäng"
"Synced payment methods","Synkroniserade betalmetoder"
"The payment failed. Please confirm the cart content and try a different payment method.","Betalningen misslyckades. Vänligen kontrollera varukorgens innehåll och prova ett annat betalalternativ."
"Advanced Settings","Avancerade inställningar"
"Reuse Erroneously Created Orders","Återanvänd Felaktigt Skapade Ordrar"
"Checkout type","Typ av kassa"
"Delete aborted orders","Ta bort avbrutna beställningar"
"Delete order when payment is aborted, to avoid orders with pending payment.","Ta bort beställning när betalning avbryts, för att undvika beställningar som inväntar betalning."
"General","Generellt"
"Sync payment methods and other data from Resurs Bank for all API accounts in all store views.","Synka betalmetoder och annan data från Resurs Bank för alla API konton i alla butiksvyer."
    "No information could be found.","Ingen information gick att hitta."
"Sort order","Sortering"
"<b>Attention!</b> API credentials are required for this extension to function properly.","<b>Obs!</b> API-uppgifter krävs för att denna modul skall fungera som förväntat."
